model,joke_type,n,sacrebleu,rouge1,rouge2,rougeL,meteor,bertscore
gemini-1.5-flash,heterographic,150,7.843404232964515,0.4100429403353724,0.10579768109048106,0.2573462000106499,0.28425990061420964,0.8782629370689392
gemini-1.5-flash,homographic,150,9.251358376204443,0.4460544136780696,0.1383892172208334,0.29562405764207816,0.31289429265645974,0.8885780572891235
gemini-1.5-flash,non_topical,150,5.233744641729503,0.3812172272306979,0.1070687675627979,0.23865299366359566,0.23790647159222988,0.872793972492218
gemini-1.5-flash,topical,150,4.9687283781844975,0.3653351957234195,0.09780397627028424,0.21787319386392023,0.24173233560611246,0.8693531155586243
gemini-1.5-pro,heterographic,150,7.55713362441292,0.42600525629599273,0.11305641825709363,0.268338799284166,0.29710275599518754,0.8771287202835083
gemini-1.5-pro,homographic,150,9.225071557595616,0.44365165803263457,0.13869958206571686,0.2978528657870769,0.31564759055442854,0.8807881474494934
gemini-1.5-pro,non_topical,150,4.57276235699948,0.35775654520539235,0.09721106307382325,0.2300551278408551,0.22257576880668173,0.8700944185256958
gemini-1.5-pro,topical,150,4.416796913650284,0.3658872620519744,0.0980313800099494,0.22138517809487118,0.23801627448548449,0.8686036467552185
gpt-4o,heterographic,150,9.065815158647853,0.43612849838837264,0.12893747683739668,0.26456992476614716,0.3682033251977863,0.8820787668228149
gpt-4o,homographic,150,10.631008711468041,0.45799620002320957,0.16275739588481702,0.2945611650916115,0.3892212398116935,0.8904067873954773
gpt-4o,non_topical,150,8.985711434155636,0.4355827951219671,0.14087925939531756,0.2631862639490648,0.32421013602025317,0.8789047002792358
gpt-4o,topical,150,8.182162057862323,0.4172540537376314,0.1310995738703121,0.23993731066370833,0.32362748935090413,0.8742950558662415
gpt-4o-mini,heterographic,150,7.5026064360124325,0.4110485540507178,0.11405237456098054,0.24480941650904825,0.3348196893241062,0.876865029335022
gpt-4o-mini,homographic,150,9.89500160693998,0.4466696330338534,0.1523862229003639,0.2855579745284894,0.3741029159989456,0.8865710496902466
gpt-4o-mini,non_topical,150,6.954299881722001,0.404557245082184,0.12001017793514236,0.24269971828328196,0.29748528644500655,0.8731740117073059
gpt-4o-mini,topical,150,5.98843892453406,0.39118931970955273,0.11104346161846669,0.226160326001965,0.2962392275011925,0.8687137961387634
llama-3.1-70b,heterographic,150,9.890543742394584,0.4490290799051244,0.13534785700498403,0.26194959616097807,0.35550283483665607,0.8832041621208191
llama-3.1-70b,homographic,150,11.241036547362746,0.45421099773478224,0.15766246644325543,0.2876249830223184,0.37183208212764,0.8897923827171326
llama-3.1-70b,non_topical,150,9.356824970735309,0.437964122859265,0.14333618618260252,0.26394927478295943,0.3144480698730346,0.8797906637191772
llama-3.1-70b,topical,150,8.492502297897378,0.4046824696210835,0.12344602121621719,0.2384870818258447,0.30480565708747753,0.8738424777984619
llama-3.1-8b,heterographic,150,9.017489729149707,0.42041500215594724,0.1271729183404714,0.25226517881470195,0.34143665888362246,0.878616452217102
llama-3.1-8b,homographic,150,10.444898478571533,0.4421602656977972,0.15053786032105793,0.2807597828453057,0.35987963237560505,0.8867002129554749
llama-3.1-8b,non_topical,150,8.424183597232556,0.4196691788454354,0.1308589474275355,0.2510698353329586,0.30101205023083677,0.8743478655815125
llama-3.1-8b,topical,150,6.884542260372231,0.38069797658769433,0.11070894461786904,0.22766541135124763,0.2777299669752468,0.8676748871803284
r1-distill-llama-70b,heterographic,150,8.701363087508703,0.42037911853311805,0.10985579046284341,0.236368058424252,0.3251843813596931,0.8786903619766235
r1-distill-llama-70b,homographic,150,9.295408572258772,0.4375565570453933,0.12984885755401063,0.2550669704561966,0.3406173326553577,0.8841677904129028
r1-distill-llama-70b,non_topical,150,6.869380752712501,0.39747101899555065,0.11505893825406176,0.2383882549246802,0.27849359275052843,0.8741587400436401
r1-distill-llama-70b,topical,150,6.671613938939281,0.38280939536288167,0.10525237914655416,0.22138201616063044,0.27175739736349225,0.8701245188713074
r1-distill-llama-8b,heterographic,150,5.842121849638531,0.374920549265442,0.08585383370734515,0.2266526960535835,0.2543230478640929,0.8735138177871704
r1-distill-llama-8b,homographic,150,7.412985829214082,0.39851965917470916,0.11325844722528028,0.24586729967230384,0.2833653263692833,0.8786376714706421
r1-distill-llama-8b,non_topical,150,5.144472690323425,0.37696216217114276,0.09915793389424342,0.22974559427978197,0.2412623160882032,0.8695880174636841
r1-distill-llama-8b,topical,150,4.266960815903124,0.3500248283206873,0.0867315777498031,0.20567296272746904,0.23362678131047132,0.8641518354415894
