model,joke_type,accuracy,score_std_acc,completeness,score_std_comp,gap
gemma-2-2b,heterographic,3.28,0.8832520751110179,2.7533333333333334,0.6232267910717734,0.5267
gemma-2-2b,homographic,3.62,0.6821796885841577,3.08,0.607779543218067,0.54
gemma-2-2b,non_topical,3.52,0.7209240900567555,2.84,0.5916646973531206,0.68
gemma-2-2b,topical,3.3933333333333335,0.7676047174406476,2.7266666666666666,0.5167875300647501,0.6667
gemma-2-9b,heterographic,3.48,0.9027920896014651,2.966666666666667,0.5840918685977137,0.5133
gemma-2-9b,homographic,3.7533333333333334,0.6123633025563122,3.1666666666666665,0.6389658871345951,0.5867
gemma-2-9b,non_topical,3.6266666666666665,0.6403298926058765,2.953333333333333,0.6057517008168491,0.6733
gemma-2-9b,topical,3.6533333333333333,0.7046029551348669,2.9266666666666667,0.5918537215735763,0.7267
llama-3.1-8b,heterographic,3.5533333333333332,0.8397560101598279,3.2466666666666666,0.7135944241914566,0.3067
llama-3.1-8b,homographic,3.76,0.6623124022097165,3.433333333333333,0.727380762770928,0.3267
llama-3.1-8b,non_topical,3.7066666666666666,0.7377333930927327,3.2066666666666666,0.7534855620182928,0.5
llama-3.1-8b,topical,3.46,1.185086296520782,3.0733333333333333,0.9560592120795853,0.3867
llama-3.2-3b,heterographic,3.533333333333333,0.856610039998597,3.22,0.7846685274602117,0.3133
llama-3.2-3b,homographic,3.72,0.7782272058291315,3.486666666666667,0.6925942541595724,0.2333
llama-3.2-3b,non_topical,3.62,0.7829560231763902,3.16,0.7692059882430671,0.46
llama-3.2-3b,topical,3.3866666666666667,1.060496696764245,2.96,0.8582798467294996,0.4267
r1-distill-llama-8b,heterographic,3.2733333333333334,1.1286189616635005,3.1133333333333333,0.8236167306555031,0.16
r1-distill-llama-8b,homographic,3.58,0.9215539837505142,3.3,0.8171812741976708,0.28
r1-distill-llama-8b,non_topical,3.56,0.9010061490006116,3.22,0.7406690246168295,0.34
r1-distill-llama-8b,topical,3.3866666666666667,1.0152307680051127,3.1333333333333333,0.7388242670210218,0.2533
