model,joke_type,criterion,mean_score,score_std
gemma-2-2b,heterographic,accuracy,3.28,0.8832520751110179
gemma-2-2b,heterographic,completeness,2.7533333333333334,0.6232267910717734
gemma-2-2b,homographic,accuracy,3.62,0.6821796885841577
gemma-2-2b,homographic,completeness,3.08,0.607779543218067
gemma-2-2b,non_topical,accuracy,3.52,0.7209240900567555
gemma-2-2b,non_topical,completeness,2.84,0.5916646973531206
gemma-2-2b,topical,accuracy,3.3933333333333335,0.7676047174406476
gemma-2-2b,topical,completeness,2.7266666666666666,0.5167875300647501
gemma-2-9b,heterographic,accuracy,3.48,0.9027920896014651
gemma-2-9b,heterographic,completeness,2.966666666666667,0.5840918685977137
gemma-2-9b,homographic,accuracy,3.7533333333333334,0.6123633025563122
gemma-2-9b,homographic,completeness,3.1666666666666665,0.6389658871345951
gemma-2-9b,non_topical,accuracy,3.6266666666666665,0.6403298926058765
gemma-2-9b,non_topical,completeness,2.953333333333333,0.6057517008168491
gemma-2-9b,topical,accuracy,3.6533333333333333,0.7046029551348669
gemma-2-9b,topical,completeness,2.9266666666666667,0.5918537215735763
llama-3.1-8b,heterographic,accuracy,3.5533333333333332,0.8397560101598279
llama-3.1-8b,heterographic,completeness,3.2466666666666666,0.7135944241914566
llama-3.1-8b,homographic,accuracy,3.76,0.6623124022097165
llama-3.1-8b,homographic,completeness,3.433333333333333,0.727380762770928
llama-3.1-8b,non_topical,accuracy,3.7066666666666666,0.7377333930927327
llama-3.1-8b,non_topical,completeness,3.2066666666666666,0.7534855620182928
llama-3.1-8b,topical,accuracy,3.46,1.185086296520782
llama-3.1-8b,topical,completeness,3.0733333333333333,0.9560592120795853
llama-3.2-3b,heterographic,accuracy,3.533333333333333,0.856610039998597
llama-3.2-3b,heterographic,completeness,3.22,0.7846685274602117
llama-3.2-3b,homographic,accuracy,3.72,0.7782272058291315
llama-3.2-3b,homographic,completeness,3.486666666666667,0.6925942541595724
llama-3.2-3b,non_topical,accuracy,3.62,0.7829560231763902
llama-3.2-3b,non_topical,completeness,3.16,0.7692059882430671
llama-3.2-3b,topical,accuracy,3.3866666666666667,1.060496696764245
llama-3.2-3b,topical,completeness,2.96,0.8582798467294996
r1-distill-llama-8b,heterographic,accuracy,3.2733333333333334,1.1286189616635005
r1-distill-llama-8b,heterographic,completeness,3.1133333333333333,0.8236167306555031
r1-distill-llama-8b,homographic,accuracy,3.58,0.9215539837505142
r1-distill-llama-8b,homographic,completeness,3.3,0.8171812741976708
r1-distill-llama-8b,non_topical,accuracy,3.56,0.9010061490006116
r1-distill-llama-8b,non_topical,completeness,3.22,0.7406690246168295
r1-distill-llama-8b,topical,accuracy,3.3866666666666667,1.0152307680051127
r1-distill-llama-8b,topical,completeness,3.1333333333333333,0.7388242670210218
gemma-2-2b,heterographic,composite,2.993679558011049,
gemma-2-2b,homographic,composite,3.3282388059701495,
gemma-2-2b,non_topical,composite,3.1436477987421387,
gemma-2-2b,topical,composite,3.0236891793754537,
gemma-2-9b,heterographic,composite,3.202895553257497,
gemma-2-9b,homographic,composite,3.4351316634553632,
gemma-2-9b,non_topical,composite,3.2555488010807165,
gemma-2-9b,topical,composite,3.2498750422154674,
llama-3.1-8b,heterographic,composite,3.393084967320262,
llama-3.1-8b,homographic,composite,3.589249304911955,
llama-3.1-8b,non_topical,composite,3.438585663773706,
llama-3.1-8b,topical,composite,3.255224489795918,
llama-3.2-3b,heterographic,composite,3.3693978282329713,
llama-3.2-3b,homographic,composite,3.599555966697503,
llama-3.2-3b,non_topical,composite,3.3743952802359884,
llama-3.2-3b,topical,composite,3.158991596638655,
r1-distill-llama-8b,heterographic,composite,3.191329157967989,
r1-distill-llama-8b,homographic,composite,3.434302325581395,
r1-distill-llama-8b,non_topical,composite,3.381474926253688,
r1-distill-llama-8b,topical,composite,3.2550783912747105,
