model,joke_type,criterion,mean_score,score_std
gemma-2-2b,heterographic,accuracy,3.2533333333333334,0.9062546767602845
gemma-2-2b,heterographic,completeness,2.76,0.6204566406712237
gemma-2-2b,homographic,accuracy,3.6066666666666665,0.6941429621494163
gemma-2-2b,homographic,completeness,3.0866666666666664,0.6013035801703887
gemma-2-2b,non_topical,accuracy,3.52,0.7393085832100519
gemma-2-2b,non_topical,completeness,2.8333333333333335,0.5954713509094414
gemma-2-2b,topical,accuracy,3.4,0.7685076621905844
gemma-2-2b,topical,completeness,2.7533333333333334,0.504166088893488
gemma-2-9b,heterographic,accuracy,3.493333333333333,0.895527040401062
gemma-2-9b,heterographic,completeness,2.973333333333333,0.5786662130535649
gemma-2-9b,homographic,accuracy,3.7533333333333334,0.6232267910717734
gemma-2-9b,homographic,completeness,3.1533333333333333,0.6423182287115342
gemma-2-9b,non_topical,accuracy,3.6266666666666665,0.6297615045179461
gemma-2-9b,non_topical,completeness,2.94,0.6263776762374205
gemma-2-9b,topical,accuracy,3.66,0.6738649417587649
gemma-2-9b,topical,completeness,2.933333333333333,0.5982824035954106
llama-3.1-8b,heterographic,accuracy,3.5533333333333332,0.8477104313334236
llama-3.1-8b,heterographic,completeness,3.2333333333333334,0.6991525710983106
llama-3.1-8b,homographic,accuracy,3.7666666666666666,0.6697356652422949
llama-3.1-8b,homographic,completeness,3.433333333333333,0.7273807627709279
llama-3.1-8b,non_topical,accuracy,3.6933333333333334,0.7503615832336042
llama-3.1-8b,non_topical,completeness,3.2133333333333334,0.764889487711547
llama-3.1-8b,topical,accuracy,3.466666666666667,1.185293929885627
llama-3.1-8b,topical,completeness,3.066666666666667,0.9530358885801207
llama-3.2-3b,heterographic,accuracy,3.533333333333333,0.856610039998597
llama-3.2-3b,heterographic,completeness,3.22,0.7760682181320341
llama-3.2-3b,homographic,accuracy,3.72,0.7695549136355839
llama-3.2-3b,homographic,completeness,3.48,0.6924327312081094
llama-3.2-3b,non_topical,accuracy,3.62,0.7743366938459274
llama-3.2-3b,non_topical,completeness,3.18,0.7603425579100034
llama-3.2-3b,topical,accuracy,3.3733333333333335,1.0715770643876716
llama-3.2-3b,topical,completeness,2.973333333333333,0.850950251833911
mistral-7b,heterographic,accuracy,3.546666666666667,0.8481061940176456
mistral-7b,heterographic,completeness,3.2333333333333334,0.6894864022454916
mistral-7b,homographic,accuracy,3.7533333333333334,0.6339041346304393
mistral-7b,homographic,completeness,3.486666666666667,0.6729347392659719
mistral-7b,non_topical,accuracy,3.7866666666666666,0.630187642948023
mistral-7b,non_topical,completeness,3.3733333333333335,0.6080739387515424
mistral-7b,topical,accuracy,3.74,0.6067849037864137
mistral-7b,topical,completeness,3.3533333333333335,0.6145513632529529
phi-3-medium,heterographic,accuracy,3.7333333333333334,0.6919156043762984
phi-3-medium,heterographic,completeness,3.68,0.6379497360856982
phi-3-medium,homographic,accuracy,3.9,0.5879095031487562
phi-3-medium,homographic,completeness,3.8666666666666667,0.6519631342427521
phi-3-medium,non_topical,accuracy,3.7666666666666666,0.6796827790149501
phi-3-medium,non_topical,completeness,3.56,0.6290506322916918
phi-3-medium,topical,accuracy,3.8133333333333335,0.4689938776473457
phi-3-medium,topical,completeness,3.52,0.5760313190590532
phi-3-mini,heterographic,accuracy,3.4133333333333336,0.9425559045009586
phi-3-mini,heterographic,completeness,3.78,0.7034908164710185
phi-3-mini,homographic,accuracy,3.6,0.8899136523982717
phi-3-mini,homographic,completeness,3.96,0.6643359706347342
phi-3-mini,non_topical,accuracy,3.78,0.5292770807317463
phi-3-mini,non_topical,completeness,3.8933333333333335,0.46554675464514444
phi-3-mini,topical,accuracy,3.58,0.8049344464534045
phi-3-mini,topical,completeness,3.82,0.6662526678743318
r1-distill-llama-8b,heterographic,accuracy,3.28,1.12994624805339
r1-distill-llama-8b,heterographic,completeness,3.1,0.8253532902286602
r1-distill-llama-8b,homographic,accuracy,3.546666666666667,0.9453997887805974
r1-distill-llama-8b,homographic,completeness,3.2933333333333334,0.8072379510526537
r1-distill-llama-8b,non_topical,accuracy,3.56,0.9084244048509807
r1-distill-llama-8b,non_topical,completeness,3.2266666666666666,0.7340854390105677
r1-distill-llama-8b,topical,accuracy,3.3866666666666667,1.0085983806809844
r1-distill-llama-8b,topical,completeness,3.1266666666666665,0.7534855620182928
gemma-2-2b,heterographic,composite,2.986430155210643,
gemma-2-2b,homographic,composite,3.3264674634794154,
gemma-2-2b,non_topical,composite,3.1395592864637987,
gemma-2-2b,topical,composite,3.0426868905742146,
gemma-2-9b,heterographic,composite,3.212426116838488,
gemma-2-9b,homographic,composite,3.427271557271557,
gemma-2-9b,non_topical,composite,3.247431472081218,
gemma-2-9b,topical,composite,3.256622851365015,
llama-3.1-8b,heterographic,composite,3.385789129011133,
llama-3.1-8b,homographic,composite,3.5922839506172837,
llama-3.1-8b,non_topical,composite,3.436653796653797,
llama-3.1-8b,topical,composite,3.2544217687074832,
llama-3.2-3b,heterographic,composite,3.3693978282329713,
llama-3.2-3b,homographic,composite,3.596,
llama-3.2-3b,non_topical,composite,3.385764705882353,
llama-3.2-3b,topical,composite,3.1607282913165267,
mistral-7b,heterographic,composite,3.3827597509013443,
mistral-7b,homographic,composite,3.615089011663598,
mistral-7b,non_topical,composite,3.568069522036003,
mistral-7b,topical,composite,3.5361278195488723,
phi-3-medium,heterographic,composite,3.7064748201438844,
phi-3-medium,homographic,composite,3.883261802575108,
phi-3-medium,non_topical,composite,3.66041856232939,
phi-3-medium,topical,composite,3.6607999999999996,
phi-3-mini,heterographic,composite,3.5873215940685825,
phi-3-mini,homographic,composite,3.7714285714285714,
phi-3-mini,non_topical,composite,3.8358297132927888,
phi-3-mini,topical,composite,3.696108108108108,
r1-distill-llama-8b,heterographic,composite,3.187460815047022,
r1-distill-llama-8b,homographic,composite,3.415308641975309,
r1-distill-llama-8b,non_topical,composite,3.3851473477406673,
r1-distill-llama-8b,topical,composite,3.251477311497782,
