model,joke_type,metric,paper,ours,diff,pct_diff
llama-3.1-8b,homographic,sacrebleu,8.41,9.9528,1.5428,18.3
llama-3.1-8b,homographic,rouge1,0.39,0.4433,0.0533,13.7
llama-3.1-8b,homographic,rouge2,0.12,0.1365,0.0165,13.8
llama-3.1-8b,homographic,rougeL,0.24,0.2651,0.0251,10.5
llama-3.1-8b,homographic,meteor,0.34,0.3686,0.0286,8.4
llama-3.1-8b,homographic,bertscore,0.88,0.8871,0.0071,0.8
llama-3.1-8b,heterographic,sacrebleu,9.76,8.4009,-1.3591,-13.9
llama-3.1-8b,heterographic,rouge1,0.42,0.4244,0.0044,1.0
llama-3.1-8b,heterographic,rouge2,0.14,0.1169,-0.0231,-16.5
llama-3.1-8b,heterographic,rougeL,0.27,0.2435,-0.0265,-9.8
llama-3.1-8b,heterographic,meteor,0.36,0.3422,-0.0178,-4.9
llama-3.1-8b,heterographic,bertscore,0.89,0.8779,-0.0121,-1.4
llama-3.1-8b,non_topical,sacrebleu,7.16,8.17,1.01,14.1
llama-3.1-8b,non_topical,rouge1,0.4,0.4169,0.0169,4.2
llama-3.1-8b,non_topical,rouge2,0.12,0.1234,0.0034,2.8
llama-3.1-8b,non_topical,rougeL,0.24,0.2448,0.0048,2.0
llama-3.1-8b,non_topical,meteor,0.3,0.299,-0.001,-0.3
llama-3.1-8b,non_topical,bertscore,0.87,0.8748,0.0048,0.6
llama-3.1-8b,topical,sacrebleu,5.83,6.9513,1.1213,19.2
llama-3.1-8b,topical,rouge1,0.36,0.3745,0.0145,4.0
llama-3.1-8b,topical,rouge2,0.1,0.1009,0.0009,0.9
llama-3.1-8b,topical,rougeL,0.22,0.2095,-0.0105,-4.8
llama-3.1-8b,topical,meteor,0.28,0.272,-0.008,-2.9
llama-3.1-8b,topical,bertscore,0.87,0.8659,-0.0041,-0.5
r1-distill-llama-8b,homographic,sacrebleu,5.25,7.799,2.549,48.6
r1-distill-llama-8b,homographic,rouge1,0.35,0.4018,0.0518,14.8
r1-distill-llama-8b,homographic,rouge2,0.08,0.1321,0.0521,65.1
r1-distill-llama-8b,homographic,rougeL,0.21,0.2571,0.0471,22.4
r1-distill-llama-8b,homographic,meteor,0.25,0.3494,0.0994,39.8
r1-distill-llama-8b,homographic,bertscore,0.87,0.8699,-0.0001,-0.0
r1-distill-llama-8b,heterographic,sacrebleu,6.48,7.1145,0.6345,9.8
r1-distill-llama-8b,heterographic,rouge1,0.37,0.3861,0.0161,4.4
r1-distill-llama-8b,heterographic,rouge2,0.1,0.1146,0.0146,14.6
r1-distill-llama-8b,heterographic,rougeL,0.23,0.2386,0.0086,3.7
r1-distill-llama-8b,heterographic,meteor,0.28,0.3399,0.0599,21.4
r1-distill-llama-8b,heterographic,bertscore,0.88,0.8648,-0.0152,-1.7
r1-distill-llama-8b,non_topical,sacrebleu,4.85,6.663,1.813,37.4
r1-distill-llama-8b,non_topical,rouge1,0.36,0.3808,0.0208,5.8
r1-distill-llama-8b,non_topical,rouge2,0.09,0.1128,0.0228,25.3
r1-distill-llama-8b,non_topical,rougeL,0.22,0.2295,0.0095,4.3
r1-distill-llama-8b,non_topical,meteor,0.24,0.2892,0.0492,20.5
r1-distill-llama-8b,non_topical,bertscore,0.87,0.8616,-0.0084,-1.0
r1-distill-llama-8b,topical,sacrebleu,4.12,5.4899,1.3699,33.2
r1-distill-llama-8b,topical,rouge1,0.33,0.3504,0.0204,6.2
r1-distill-llama-8b,topical,rouge2,0.08,0.0912,0.0112,14.0
r1-distill-llama-8b,topical,rougeL,0.2,0.2077,0.0077,3.9
r1-distill-llama-8b,topical,meteor,0.23,0.2723,0.0423,18.4
r1-distill-llama-8b,topical,bertscore,0.86,0.8553,-0.0047,-0.5
