model,joke_type,success_rate
gemma-2-2b,heterographic,0.08
gemma-2-2b,homographic,0.21333333333333335
gemma-2-2b,non_topical,0.10666666666666667
gemma-2-2b,topical,0.03333333333333333
gemma-2-9b,heterographic,0.15333333333333332
gemma-2-9b,homographic,0.29333333333333333
gemma-2-9b,non_topical,0.16666666666666666
gemma-2-9b,topical,0.12666666666666668
llama-3.1-8b,heterographic,0.37333333333333335
llama-3.1-8b,homographic,0.5133333333333333
llama-3.1-8b,non_topical,0.3466666666666667
llama-3.1-8b,topical,0.32
llama-3.2-3b,heterographic,0.38666666666666666
llama-3.2-3b,homographic,0.5333333333333333
llama-3.2-3b,non_topical,0.32
llama-3.2-3b,topical,0.22666666666666666
mistral-7b,heterographic,0.35333333333333333
mistral-7b,homographic,0.5466666666666666
mistral-7b,non_topical,0.4266666666666667
mistral-7b,topical,0.42
phi-3-medium,heterographic,0.64
phi-3-medium,homographic,0.78
phi-3-medium,non_topical,0.6066666666666667
phi-3-medium,topical,0.5266666666666666
phi-3-mini,heterographic,0.6133333333333333
phi-3-mini,homographic,0.7133333333333334
phi-3-mini,non_topical,0.7733333333333333
phi-3-mini,topical,0.7133333333333334
r1-distill-llama-8b,heterographic,0.31333333333333335
r1-distill-llama-8b,homographic,0.4533333333333333
r1-distill-llama-8b,non_topical,0.36666666666666664
r1-distill-llama-8b,topical,0.32666666666666666
